p,epsilon,nb
43.58782904,330.3560729,0.328
43.7756872,331.4433612,0.329
43.96394002,332.5306495,0.33
44.1525875,333.6179378,0.331
44.34182697,334.7071994,0.332
44.5314611,335.7944877,0.333
44.72168722,336.8837493,0.334
44.912308,337.9730109,0.335
45.10332344,339.0642458,0.336
45.29493087,340.1535074,0.337
45.48693296,341.2447423,0.338
45.67952704,342.3359772,0.339
45.87251578,343.4272121,0.34
46.06589918,344.518447,0.341
46.25987457,345.6116552,0.342
46.45424462,346.7048634,0.343
46.64920666,347.7980716,0.344
46.84456336,348.8912798,0.345
47.04051205,349.984488,0.346
47.2368554,351.0796695,0.347
47.43379074,352.174851,0.348
47.63112074,353.2700325,0.349
47.8288454,354.365214,0.35
48.02735938,355.4623688,0.351
48.22607069,356.5595236,0.352
48.42557132,357.6566784,0.353
48.62526928,358.7538332,0.354
48.82575656,359.850988,0.355
49.0266385,360.9501161,0.356
49.2279151,362.0492442,0.357
49.42978369,363.1483723,0.358
49.63224427,364.2475004,0.359
49.83509951,365.3466285,0.36
50.03834941,366.4477299,0.361
50.24238863,367.5488313,0.362
50.44682251,368.6499327,0.363
50.65165105,369.7530074,0.364
50.85726891,370.8541088,0.365
51.0630841,371.9571835,0.366
51.26968861,373.0602582,0.367
51.47668778,374.1633329,0.368
51.68408161,375.2683809,0.369
51.89226476,376.3734289,0.37
52.10084257,377.4784769,0.371
52.30981504,378.5835249,0.372
52.51957683,379.6885729,0.373
52.72973328,380.7955942,0.374
52.94028439,381.9026155,0.375
53.15142749,383.0096368,0.376
53.36316258,384.1166581,0.377
53.57548966,385.2236794,0.378
53.7882114,386.332674,0.379
54.00152513,387.4416686,0.38
54.21543085,388.5506632,0.381
54.42973123,389.6616311,0.382
54.64482093,390.7706257,0.383
54.86010796,391.8815936,0.384
55.07618431,392.9925615,0.385
55.29265532,394.1035294,0.386
55.50971832,395.2164706,0.387
50.73531897,393.9752649,0.388
50.92219048,395.0822862,0.389
51.10886466,396.1912808,0.39
